FromID,ToID,Distance_km,Time_min
C001,C002,410.67109999999997,395.10499999999996
C001,C003,470.1234,488.4483333333334
C001,C004,972.8777,789.9316666666667
C001,C005,574.1596,487.18833333333333
C001,C006,427.4833,392.0516666666666
C001,C007,346.1607,354.35166666666663
C001,C008,954.5254,717.48
C001,C009,206.875,207.37333333333333
C001,C010,307.96070000000003,324.00333333333333
C001,C011,319.7164,282.7316666666667
C001,C012,996.2982,752.5699999999999
C001,C013,124.8353,103.28833333333334
C001,C014,285.36609999999996,301.88666666666666
C001,CD01,994.8339,751.5516666666666
C001,E001,994.8339,751.5516666666666
C001,E002,976.6691,793.0716666666667
C001,E003,954.2509,718.1733333333334
C001,E004,407.3576,350.4533333333333
C001,E005,13.464,18.948333333333334
C001,E006,410.6669,395.1
C001,E007,470.1187,488.43666666666667
C001,E008,636.4074,693.4616666666666
C001,E009,740.8879000000001,646.8116666666666
C001,E010,361.22790000000003,414.8366666666667
C001,E011,236.8761,261.06333333333333
C001,E012,178.85070000000002,222.72833333333335
C002,C001,408.9547,445.675
C002,C003,434.2025,375.42333333333335
C002,C004,653.1181,500.57166666666666
C002,C005,588.0159,454.72833333333335
C002,C006,421.4681,351.1816666666667
C002,C007,234.07379999999998,184.77333333333334
C002,C008,793.9124,607.1949999999999
C002,C009,344.2731,307.93
C002,C010,209.06889999999999,168.60833333333332
C002,C011,547.8626999999999,470.62833333333333
C002,C012,703.9265,543.1866666666667
C002,C013,521.7447999999999,525.48
C002,C014,280.1828,240.31666666666666
C002,CD01,700.4357,540.7416666666667
C002,E001,700.4357,540.7416666666667
C002,E002,656.9095,503.7116666666667
C002,E003,793.638,607.8883333333334
C002,E004,389.8368,306.06333333333333
C002,E005,407.6893,450.31166666666667
C002,E006,0.2932,0.7766666666666667
C002,E007,434.1978,375.4116666666667
C002,E008,511.3948,592.5716666666667
C002,E009,421.12829999999997,357.45166666666665
C002,E010,266.388,245.63333333333333
C002,E011,465.0225,448.96
C002,E012,414.9947,410.22
C003,C001,457.9206,467.6
C003,C002,441.2068,415.77833333333336
C003,C004,1091.0881000000002,911.1083333333333
C003,C005,968.2564,796.5300000000001
C003,C006,801.7085999999999,692.9833333333333
C003,C007,215.7107,193.38333333333333
C003,C008,1209.7531999999999,958.3916666666667
C003,C009,260.3562,262.3833333333333
C003,C010,274.8954,252.19166666666666
C003,C011,374.6083,397.905
C003,C012,1141.8963999999999,953.7233333333334
C003,C013,543.0659,525.4933333333333
C003,C014,188.35320000000002,184.5883333333333
C003,CD01,1138.4056,951.2783333333333
C003,E001,1138.4056,951.2783333333333
C003,E002,1094.8793999999998,914.2483333333333
C003,E003,1209.4787,959.0849999999999
C003,E004,770.0772,647.865
C003,E005,452.42190000000005,466.52166666666665
C003,E006,441.2025,415.77333333333337
C003,E007,0.49960000000000004,1.215
C003,E008,891.6351999999999,934.3733333333333
C003,E009,859.0983,767.9883333333333
C003,E010,214.3193,210.47
C003,E011,381.1055,403.4133333333333
C003,E012,632.6325,686.6016666666667
C004,C001,1009.9228,790.9966666666667
C004,C002,650.5589,502.085
C004,C003,1082.1199,872.8766666666667
C004,C005,711.7623000000001,567.5916666666667
C004,C006,720.8525999999999,543.8583333333333
C004,C007,881.9911999999999,682.2266666666667
C004,C008,230.28889999999998,181.675
C004,C009,967.5493,765.1366666666667
C004,C010,856.9863,666.0616666666666
C004,C011,1157.0983999999999,910.6283333333333
C004,C012,133.27439999999999,109.295
C004,C013,1131.4026000000001,892.5283333333333
C004,C014,928.1002,737.77
C004,CD01,129.18019999999999,107.41833333333334
C004,E001,129.18019999999999,107.41833333333334
C004,E002,2.4188,4.52
C004,E003,230.0144,182.36833333333334
C004,E004,689.2213,498.74
C004,E005,1020.4797,806.2016666666666
C004,E006,650.5545999999999,502.08
C004,E007,1082.1152,872.865
C004,E008,799.5263,768.6366666666667
C004,E009,307.2364,256.03
C004,E010,914.3054000000001,743.0866666666666
C004,E011,1074.2582,888.9599999999999
C004,E012,897.6501999999999,732.735
C005,C001,583.5466,497.35166666666663
C005,C002,586.3248000000001,446.50333333333333
C005,C003,1017.8858,817.295
C005,C004,711.8416,569.08
C005,C006,171.916,147.4
C005,C007,817.7571999999999,626.645
C005,C008,626.6783,500.4183333333333
C005,C009,708.3023000000001,539.0916666666667
C005,C010,792.7523,610.48
C005,C011,897.8514,684.5833333333334
C005,C012,668.4512,535.5083333333333
C005,C013,705.0264,598.8833333333333
C005,C014,794.1356,634.935
C005,CD01,666.9869,534.49
C005,E001,666.9869,534.49
C005,E002,715.6329000000001,572.2199999999999
C005,E003,626.4039,501.1116666666667
C005,E004,197.8459,154.97833333333335
C005,E005,594.1035,512.5566666666667
C005,E006,586.3206,446.49833333333333
C005,E007,1017.8811999999999,817.2833333333333
C005,E008,505.9213,569.37
C005,E009,709.789,588.49
C005,E010,850.0714,687.505
C005,E011,815.0111999999999,662.9150000000001
C005,E012,389.4591,376.9
C006,C001,416.61440000000005,379.9933333333333
C006,C002,419.3927,329.14500000000004
C006,C003,850.9536999999999,699.9366666666666
C006,C004,653.1492,520.8833333333333
C006,C005,171.5316,133.685
C006,C007,650.8251,509.2866666666667
